Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.7,,,,
Document Fields,Figure Title,Split-sheave eccentric,,,,
Document Fields,R270,R270,,,,
Document Fields,R220,R220,,,,
Document Fields,R180,R180,,,,
Document Fields,R130,R130,,,,
Document Fields,R100,R100,,,,
Document Fields,R40,R40,,,,
Document Fields,R30,R30,,,,
Document Fields,R24,R24,,,,
Document Fields,R230,R230,,,,
Document Fields,R270_2,R270,,,,
Document Fields,R185,R185,,,,
Document Fields,Dimension_550,550,,,,
Document Fields,Dimension_88,88,,,,
Document Fields,Dimension_100_base,100,,,,
Document Fields,Dimension_45deg,45°,,,,
Document Fields,Dimension_15,15,,,,
Document Fields,Dimension_36,36,,,,
Document Fields,Dimension_24,24,,,,
Document Fields,Dimension_100_top_left,100,,,,
Document Fields,Dimension_100_top_right,100,,,,
Document Fields,Dimension_12,12,,,,
Document Fields,Dimension_6,6,,,,
Document Fields,Dimension_41,41,,,,
Document Fields,Dimension_80,80,,,,
Document Fields,Dimension_phi47,φ47,,,,
Document Fields,Dimension_phi45,φ45,,,,
Document Fields,Dimension_phi60,φ60,,,,
Document Fields,Dimension_M14,M14,,,,
Document Fields,Dimension_25,25,,,,
Document Fields,Dimension_5,5,,,,
Document Fields,Dimension_50,50,,,,
Document Fields,Dimension_30_inner,30,,,,
Document Fields,Dimension_200,200,,,,
Document Fields,Dimension_16,16,,,,
Document Fields,Dimension_30_outer,30,,,,
Document Fields,Dimension_75_bottom,75,,,,
Document Fields,Dimension_20,20,,,,
Document Fields,Dimension_26,26,,,,
Document Fields,Dimension_38,38,,,,
Document Fields,Dimension_phi75,φ75,,,,
Document Fields,Dimension_150,150,,,,
Document Fields,Dimension_230,230,,,,
Parts List,,,7,Strap,CI,1
Parts List,,,8,Shim,Brass,2
Parts List,,,9,Bolt M30 × 250,MS,2
Parts List,,,10,Lock nut M30,MS,2
Parts List,,,11,Stud M30,MS,2
Parts List,,,12,Washer,MS,2
Notes & Annotations,Note,Fig. 19.7 Split-sheave eccentric,,,,
Notes & Annotations,Note,Part No. 3: Bolt M30 × 135,,,,
Notes & Annotations,Note,Part No. 9: Bolt M30 × 250,,,,
Notes & Annotations,Note,Part No. 5: Split pin φ6 × 50,,,,
Notes & Annotations,Note,M14 thread visible on upper right assembly,,,,
Notes & Annotations,Note,φ60 dimension on upper assembly,,,,
Notes & Annotations,Note,φ47 dimension on left side of main view,,,,
Notes & Annotations,Note,φ45 dimension near center top,,,,
Notes & Annotations,Note,φ75 dimension on right side assembly,,,,
Notes & Annotations,Note,R185 radius shown in section view,,,,
Notes & Annotations,Note,"Multiple radii shown: R24, R30, R40, R100, R130, R180, R220, R230, R270",,,,
Notes & Annotations,Note,"Left side view shows 45° angle, 550 height, 88 width, 100 base, 36 and 15 dimensions",,,,
Notes & Annotations,Note,"Assembly shows split sheave with straps, bolts, nuts, shims and lock nuts",,,,
