Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Rod End Diameter 1,φ40,,,,
Document Fields,Rod End Diameter 2,φ80,,,,
Document Fields,Rod End Diameter 3,φ190,,,,
Document Fields,Bore Diameter 1,φ48,,,,
Document Fields,Bore Diameter 2,φ48,,,,
Document Fields,Bore Diameter 3,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Radius 4,R142,,,,
Document Fields,Radius 5,R130,,,,
Document Fields,Thread Size Bolt,M10,,,,
Document Fields,Dimension 15,15,,,,
Document Fields,Dimension 9 (top),9,,,,
Document Fields,Dimension 9 (side),9,,,,
Document Fields,Dimension 10,10,,,,
Document Fields,Dimension 11,11,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Dimension 36 (left outer),36,,,,
Document Fields,Dimension 36 (left inner),36,,,,
Document Fields,Dimension 50 (left),50,,,,
Document Fields,Dimension 52 (left),52,,,,
Document Fields,Dimension 52 (right),52,,,,
Document Fields,Dimension 50 (right),50,,,,
Document Fields,Dimension 36 (right),36,,,,
Document Fields,Dimension 16 (left),16,,,,
Document Fields,Dimension 16 (right),16,,,,
Document Fields,Dimension 12 (bottom left),12,,,,
Document Fields,Dimension 10 (bottom center),10,,,,
Document Fields,Dimension 12 (bottom right),12,,,,
Document Fields,Overall Length Bottom View,162,,,,
Document Fields,Dimension 70,70,,,,
Document Fields,Dimension 18,18,,,,
Document Fields,Dimension 80 (left),80,,,,
Document Fields,Dimension 80 (right),80,,,,
Document Fields,Dimension 10 (bottom),10,,,,
Document Fields,Height 90,90,,,,
Document Fields,Height 118,118,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Part callout 1: Rod end (FS),,,,
Notes & Annotations,Note,Part callout 2: Cover end (FS),,,,
Notes & Annotations,Note,Part callout 3: Bearing brass (GM),,,,
Notes & Annotations,Note,Part callout 4: Bolt M54 × 360 (MS),,,,
Notes & Annotations,Note,"Part callout 5: Nut, M54 (MCS)",,,,
Notes & Annotations,Note,Part callout 6: Cotter (MCS),,,,
Notes & Annotations,Note,Part callout 7: Snug (MS),,,,
Notes & Annotations,Note,Part callout 8: Leather packing,,,,
Notes & Annotations,Note,Thread designation M10 visible on drawing,,,,
Notes & Annotations,Note,"Material codes: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Mild Carbon Steel",,,,
