Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Book Section,Machine Drawing,,,,
Document Fields,Overall Width,270,,,,
Document Fields,Diameter 1,φ40,,,,
Document Fields,Diameter 2,φ80,,,,
Document Fields,Diameter 3,φ190,,,,
Document Fields,Diameter 4,φ48,,,,
Document Fields,Diameter 5,φ72,,,,
Document Fields,Radius 1,R142,,,,
Document Fields,Radius 2,R130,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Radius 4,R56,,,,
Document Fields,Radius 5,R55,,,,
Document Fields,Thread Size Bolt,M54,,,,
Document Fields,Thread Size Snug,M10,,,,
Document Fields,Dimension 15,15,,,,
Document Fields,Dimension 9 top,9,,,,
Document Fields,Dimension 9 left,9,,,,
Document Fields,Dimension 10,10,,,,
Document Fields,Dimension 11,11,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 36a,36,,,,
Document Fields,Dimension 36b,36,,,,
Document Fields,Dimension 50a,50,,,,
Document Fields,Dimension 52a,52,,,,
Document Fields,Dimension 52b,52,,,,
Document Fields,Dimension 50b,50,,,,
Document Fields,Dimension 36c,36,,,,
Document Fields,Dimension 16a,16,,,,
Document Fields,Dimension 16b,16,,,,
Document Fields,Dimension 12a,12,,,,
Document Fields,Dimension 10a,10,,,,
Document Fields,Dimension 12b,12,,,,
Document Fields,Dimension 162,162,,,,
Document Fields,Dimension 70,70,,,,
Document Fields,Dimension 18,18,,,,
Document Fields,Dimension 80a,80,,,,
Document Fields,Dimension 80b,80,,,,
Document Fields,Dimension 10b,10,,,,
Document Fields,Dimension 90,90,,,,
Document Fields,Dimension 118,118,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 × 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Part numbers 1-11 are labeled on the assembly drawing,,,,
Notes & Annotations,Note,Two views shown: front sectional view and side view,,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,"Materials used: FS (Forged Steel), GM (Gun Metal), MS (Mild Steel), MCS (Mild Carbon Steel)",,,,
