Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter 1,φ40,,,,
Document Fields,Rod End Diameter 2,φ80,,,,
Document Fields,Rod End Diameter 3,φ190,,,,
Document Fields,Bearing Diameter 1,φ48,,,,
Document Fields,Bearing Diameter 2,φ48,,,,
Document Fields,Bottom Diameter,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Right Side Radius 1,R142,,,,
Document Fields,Right Side Radius 2,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Section Widths Left to Right,"36, 36, 50, 52, 52, 50, 36",,,,
Document Fields,Bottom Dimensions,"16, 12, 10, 12, 16",,,,
Document Fields,Total Bottom Length,162,,,,
Document Fields,Lower View Width Left,80,,,,
Document Fields,Lower View Width Right,80,,,,
Document Fields,Lower View Center,10,,,,
Document Fields,Lower View Height 1,70,,,,
Document Fields,Lower View Height 2,18,,,,
Document Fields,Lower View Right Height 1,90,,,,
Document Fields,Lower View Right Height 2,118,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Parts list contains 8 part numbers,,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,"Materials used: FS (Forged Steel), GM (Gun Metal), MS (Mild Steel), MCS (Mild Carbon Steel)",,,,
Notes & Annotations,Note,Overall assembly width: 270,,,,
Notes & Annotations,Note,Lower view total length: 162,,,,
Notes & Annotations,Note,Right side view shows R142 and R130 radii,,,,
