Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Offset Dimension,15,,,,
Document Fields,Flange OD,φ190,,,,
Document Fields,Rod OD,φ80,,,,
Document Fields,Small End OD,φ40,,,,
Document Fields,Inner Diameter 1,φ48,,,,
Document Fields,Inner Diameter 2,φ48,,,,
Document Fields,Bottom Flange OD,φ72,,,,
Document Fields,Radius 1,R142,,,,
Document Fields,Radius 2,R130,,,,
Document Fields,Radius 3,R66,,,,
Document Fields,Radius 4,R56,,,,
Document Fields,Radius 5,R76,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Segment 1,36,,,,
Document Fields,Segment 2,36,,,,
Document Fields,Segment 3,50,,,,
Document Fields,Segment 4,52,,,,
Document Fields,Segment 5,52,,,,
Document Fields,Segment 6,50,,,,
Document Fields,Segment 7,36,,,,
Document Fields,Bottom Dim 16 Left,16,,,,
Document Fields,Bottom Dim 16 Right,16,,,,
Document Fields,Center Dim 12,12,,,,
Document Fields,Center Dim 10,10,,,,
Document Fields,Center Dim 12 Right,12,,,,
Document Fields,Total Length Bottom View,162,,,,
Document Fields,Side View Height 1,90,,,,
Document Fields,Side View Height 2,118,,,,
Document Fields,Side View Width 1,70,,,,
Document Fields,Side View Width 2,18,,,,
Document Fields,Side View Segment 80 Left,80,,,,
Document Fields,Side View Segment 80 Right,80,,,,
Document Fields,Side View Bottom Dim,10,,,,
Document Fields,Part 9 Label,9,,,,
Document Fields,Part 10 Label,10,,,,
Document Fields,Part 11 Label,11,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 × 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Overall assembly width: 270,,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,Thread on bearing cap: M10,,,,
Notes & Annotations,Note,Bearing brass material: GM (Gun Metal),,,,
Notes & Annotations,Note,Rod end and Cover end material: FS (Forged Steel),,,,
Notes & Annotations,Note,Snug and Bolt material: MS (Mild Steel),,,,
Notes & Annotations,Note,Cotter and Nut material: MCS (Mild Carbon Steel),,,,
