Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Dimension 1,36,,,,
Document Fields,Left Section Dimension 2,36,,,,
Document Fields,Left Section Dimension 3,50,,,,
Document Fields,Center Left Dimension,52,,,,
Document Fields,Center Right Dimension,52,,,,
Document Fields,Right Section Dimension 1,50,,,,
Document Fields,Right Section Dimension 2,36,,,,
Document Fields,Right Section Dimension 3,36,,,,
Document Fields,Small Center Dimension 1,12,,,,
Document Fields,Small Center Dimension 2,10,,,,
Document Fields,Small Center Dimension 3,12,,,,
Document Fields,Bottom Reference 1,16,,,,
Document Fields,Bottom Reference 2,16,,,,
Document Fields,Total Length Bottom View,162,,,,
Document Fields,Bottom View Left Width,80,,,,
Document Fields,Bottom View Right Width,80,,,,
Document Fields,Bottom View Small Center,10,,,,
Document Fields,Bottom View Height 1,70,,,,
Document Fields,Bottom View Height 2,18,,,,
Document Fields,Bottom View Right Height 1,90,,,,
Document Fields,Bottom View Right Height 2,118,,,,
Document Fields,Diameter 1,φ40,,,,
Document Fields,Diameter 2,φ80,,,,
Document Fields,Diameter 3,φ190,,,,
Document Fields,Diameter 4,φ48,,,,
Document Fields,Diameter 5,φ48,,,,
Document Fields,Diameter 6,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Radius 4,R142,,,,
Document Fields,Radius 5,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 15,15,,,,
Document Fields,Dimension 9 (top),9,,,,
Document Fields,Dimension 9 (left),9,,,,
Document Fields,Dimension 11,11,,,,
Document Fields,Dimension 10,10,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 × 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Part 1: Rod end - Material FS - Qty 1,,,,
Notes & Annotations,Note,Part 2: Cover end - Material FS - Qty 1,,,,
Notes & Annotations,Note,Part 3: Bearing brass - Material GM - Qty 2,,,,
Notes & Annotations,Note,Part 4: Bolt M54 × 360 - Material MS - Qty 2,,,,
Notes & Annotations,Note,"Part 5: Nut, M54 - Material MCS - Qty 2",,,,
Notes & Annotations,Note,Part 6: Cotter - Material MCS - Qty 2,,,,
Notes & Annotations,Note,Part 7: Snug - Material MS - Qty 2,,,,
Notes & Annotations,Note,Part 8: Leather packing,,,,
Notes & Annotations,Note,Assembly shows front view (sectional) and side view of marine engine connecting rod end,,,,
Notes & Annotations,Note,Bottom view shows plan of the connecting rod end assembly,,,,
