Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Segment 1,36,,,,
Document Fields,Left Segment 2,36,,,,
Document Fields,Left Segment 3,50,,,,
Document Fields,Left Segment 4,52,,,,
Document Fields,Center Segment,12,,,,
Document Fields,Right Segment 4,52,,,,
Document Fields,Right Segment 3,50,,,,
Document Fields,Right Segment 2,36,,,,
Document Fields,Right Segment 1,36,,,,
Document Fields,Bottom Dimension 1,16,,,,
Document Fields,Bottom Dimension 2,12,,,,
Document Fields,Bottom Dimension 3,10,,,,
Document Fields,Bottom Dimension 4,12,,,,
Document Fields,Bottom Dimension 5,16,,,,
Document Fields,Rod End Outer Diameter,φ190,,,,
Document Fields,Rod End Inner Diameter,φ80,,,,
Document Fields,Rod End Shaft Diameter,φ40,,,,
Document Fields,Bearing Radius 1,R56,,,,
Document Fields,Bearing Radius 2,R76,,,,
Document Fields,Radius Right Top,R142,,,,
Document Fields,Radius Right Bottom,R130,,,,
Document Fields,Dimension 48,φ48,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 72,φ72,,,,
Document Fields,Dimension M10,M10,,,,
Document Fields,Dimension 12 (top right),12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Dimension 15,15,,,,
Document Fields,Dimension 9 (left),9,,,,
Document Fields,Dimension 9 (right),9,,,,
Document Fields,Dimension 10,10,,,,
Document Fields,Dimension 11,11,,,,
Document Fields,Bottom View Length,162,,,,
Document Fields,Bottom View Dim 1,80,,,,
Document Fields,Bottom View Dim 2,80,,,,
Document Fields,Bottom View Dim 3,10,,,,
Document Fields,Bottom View Dim 4,18,,,,
Document Fields,Bottom View Dim 5,70,,,,
Document Fields,Bottom View Height 1,90,,,,
Document Fields,Bottom View Height 2,118,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 × 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,R56 appears twice in the bearing area,,,,
Notes & Annotations,Note,M10 bolt size indicated on right side of assembly,,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Bearing brass material is Gun Metal (GM),,,,
Notes & Annotations,Note,Rod end and Cover end material is Forged Steel (FS),,,,
Notes & Annotations,Note,Cotter and Nut material is Mild Cast Steel (MCS),,,,
