Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,phi40,40,,,,
Document Fields,phi80,80,,,,
Document Fields,phi190,190,,,,
Document Fields,phi48,48,,,,
Document Fields,phi72,72,,,,
Document Fields,R142,142,,,,
Document Fields,R130,130,,,,
Document Fields,R56_1,56,,,,
Document Fields,R56_2,56,,,,
Document Fields,R76,76,,,,
Document Fields,M10,10,,,,
Document Fields,Dimension_270,270,,,,
Document Fields,Dimension_162,162,,,,
Document Fields,Dimension_15,15,,,,
Document Fields,Dimension_9_top,9,,,,
Document Fields,Dimension_9_left,9,,,,
Document Fields,Dimension_12_right,12,,,,
Document Fields,Dimension_8,8,,,,
Document Fields,Dimension_10,10,,,,
Document Fields,Dimension_11,11,,,,
Document Fields,Dimension_46,46,,,,
Document Fields,Dimension_36_left,36,,,,
Document Fields,Dimension_36_right,36,,,,
Document Fields,Dimension_36_far_right,36,,,,
Document Fields,Dimension_50_left,50,,,,
Document Fields,Dimension_50_right,50,,,,
Document Fields,Dimension_52_left,52,,,,
Document Fields,Dimension_52_right,52,,,,
Document Fields,Dimension_16_left,16,,,,
Document Fields,Dimension_16_right,16,,,,
Document Fields,Dimension_12_left,12,,,,
Document Fields,Dimension_12_mid,12,,,,
Document Fields,Dimension_10_mid,10,,,,
Document Fields,Dimension_70,70,,,,
Document Fields,Dimension_18,18,,,,
Document Fields,Dimension_80_left,80,,,,
Document Fields,Dimension_80_right,80,,,,
Document Fields,Dimension_10_bottom,10,,,,
Document Fields,Dimension_90,90,,,,
Document Fields,Dimension_118,118,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 x 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Part 1 - Rod end (FS),,,,
Notes & Annotations,Note,Part 2 - Cover end (FS),,,,
Notes & Annotations,Note,"Part 3 - Bearing brass (GM), Qty 2",,,,
Notes & Annotations,Note,"Part 4 - Bolt M54 x 360 (MS), Qty 2",,,,
Notes & Annotations,Note,"Part 5 - Nut M54 (MCS), Qty 2",,,,
Notes & Annotations,Note,"Part 6 - Cotter (MCS), Qty 2",,,,
Notes & Annotations,Note,"Part 7 - Snug (MS), Qty 2",,,,
Notes & Annotations,Note,Part 8 - Leather packing,,,,
Notes & Annotations,Note,M10 thread notation visible on drawing,,,,
Notes & Annotations,Note,R142 and R130 radii shown on right side view,,,,
Notes & Annotations,Note,Two circular bores visible in right side view,,,,
Notes & Annotations,Note,Bottom view shows overall length of 162 with symmetric 80+80 spacing,,,,
