Section,Field,Value,Col_Part No.,Col_Name,Col_Material,Col_Qty
Document Fields,Figure,Fig. 1.3 Assembly drawing.,,,,
Document Fields,Section,1.2.3.1 Design Assembly Drawing,,,,
Document Fields,Section 2,1.2.3.2 Detailed Assembly Drawing,,,,
Document Fields,Page,5,,,,
Document Fields,Cross-section label,X - X,,,,
Document Fields,Keyway dimensions,20 x 8,,,,
Document Fields,Thread designation,M30,,,,
Document Fields,Thread quantity,2,,,,
Document Fields,Dimension - overall length,150,,,,
Document Fields,Dimension - segment 1,48,,,,
Document Fields,Dimension - segment 2,8,,,,
Document Fields,Dimension - segment 3,40,,,,
Document Fields,Dimension - segment 4,8,,,,
Document Fields,Dimension - flange width,85,,,,
Document Fields,Dimension - step 1,35,,,,
Document Fields,Dimension - step 2,45,,,,
Document Fields,Dimension - step 3,25,,,,
Document Fields,Diameter - phi 34,34,,,,
Document Fields,Diameter - phi 40,40,,,,
Document Fields,Diameter - phi 60,60,,,,
Document Fields,Diameter - phi 80,80,,,,
Document Fields,Diameter - phi 120,120,,,,
Document Fields,Diameter - phi 64,64,,,,
Document Fields,Dimension - 60,60,,,,
Document Fields,Dimension - 80,80,,,,
Document Fields,Dimension - 12,12,,,,
Parts List,,,1,Crank,Forged Steel,1
Parts List,,,2,Crank Pin,45C,1
Parts List,,,3,Nut,MS,1
Parts List,,,4,Washer,MS,1
Notes & Annotations,Note,"KEY WAY, 20 x 8",,,,
Notes & Annotations,Note,X - X (cross-section view label),,,,
Notes & Annotations,Note,"When a machine is designed, an assembly drawing or a design layout is first drawn to clearly visualise the performance, shape and clearances of various parts comprising the machine.",,,,
Notes & Annotations,Note,"It is usually made for simple machines, comprising of a relatively smaller number of simple parts. All the dimensions and information necessary for the construction of such parts and for the assembly of the",,,,
Notes & Annotations,Note,Part 1 - Crank is made of Forged Steel,,,,
Notes & Annotations,Note,Part 2 - Crank Pin is made of 45C,,,,
Notes & Annotations,Note,Parts 3 and 4 (Nut and Washer) are made of MS (Mild Steel),,,,
Notes & Annotations,Note,phi 80 circle visible in right-side view with M30 thread (qty 2),,,,
Notes & Annotations,Note,phi 120 and phi 64 circles visible in front view,,,,
