Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter,φ40,,,,
Document Fields,Outer Flange Diameter,φ190,,,,
Document Fields,Inner Diameter,φ80,,,,
Document Fields,Bore Diameter 1,φ48,,,,
Document Fields,Bore Diameter 2,φ48,,,,
Document Fields,Bottom Diameter,φ72,,,,
Document Fields,Radius 1,R142,,,,
Document Fields,Radius 2,R130,,,,
Document Fields,Radius R56 (left),R56,,,,
Document Fields,Radius R56 (center),R56,,,,
Document Fields,Radius R76,R76,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Segment 36 (far left),36,,,,
Document Fields,Segment 36 (left),36,,,,
Document Fields,Segment 50 (left),50,,,,
Document Fields,Segment 52 (left),52,,,,
Document Fields,Segment 52 (right),52,,,,
Document Fields,Segment 50 (right),50,,,,
Document Fields,Segment 36 (right),36,,,,
Document Fields,Bottom Dim 16 (left),16,,,,
Document Fields,Bottom Dim 12,12,,,,
Document Fields,Bottom Dim 10,10,,,,
Document Fields,Bottom Dim 12 (right),12,,,,
Document Fields,Bottom Dim 16 (right),16,,,,
Document Fields,Center Width,162,,,,
Document Fields,Left Height,70,,,,
Document Fields,Inner Width,18,,,,
Document Fields,Bottom Section Width Left,80,,,,
Document Fields,Bottom Section Width Right,80,,,,
Document Fields,Bottom Offset,10,,,,
Document Fields,Height 90,90,,,,
Document Fields,Height 118,118,,,,
Document Fields,Bolt Specification,M54 × 360,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,"Part callouts visible in drawing: 1 (Rod end), 2 (Cover end), 3 (Bearing brass), 4 (Bolt), 5 (Nut), 6 (Cotter), 7 (Snug), 8 (Leather packing)",,,,
Notes & Annotations,Note,"Additional part numbers visible in drawing: 9, 10, 11 (unlisted in parts list)",,,,
Notes & Annotations,Note,Dimensions noted in front view and side view (right side view shows R142 and R130),,,,
Notes & Annotations,Note,"Material abbreviations: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Mild Carbon Steel",,,,
