Section,Field,Value,Col_Part No.,Col_Name,Col_Material,Col_Qty
Document Fields,Figure,Fig. 1.3 Assembly drawing,,,,
Document Fields,Section,1.2.3.1 Design Assembly Drawing,,,,
Document Fields,Section 2,1.2.3.2 Detailed Assembly Drawing,,,,
Document Fields,Page,-5-,,,,
Document Fields,Cross Section Label,X-X,,,,
Document Fields,Keyway Dimensions,20 x 8,,,,
Document Fields,Thread Specification,M30 2,,,,
Document Fields,Diameter 1,φ80,,,,
Document Fields,Diameter 2,φ64,,,,
Document Fields,Diameter 3,φ120,,,,
Document Fields,Diameter 4,φ40,,,,
Document Fields,Diameter 5,φ60,,,,
Document Fields,Diameter 6,φ34,,,,
Document Fields,Dimension 150,150,,,,
Document Fields,Dimension 85,85,,,,
Document Fields,Dimension 48,48,,,,
Document Fields,Dimension 40,40,,,,
Document Fields,Dimension 8 left,8,,,,
Document Fields,Dimension 8 right,8,,,,
Document Fields,Dimension 35,35,,,,
Document Fields,Dimension 45,45,,,,
Document Fields,Dimension 25,25,,,,
Document Fields,Dimension 60,60,,,,
Document Fields,Dimension 80,80,,,,
Document Fields,Dimension 12,12,,,,
Parts List,,,1,Crank,Forged Steel,1
Parts List,,,2,Crank Pin,45C,1
Parts List,,,3,Nut,MS,1
Parts List,,,4,Washer,MS,1
Notes & Annotations,Note,"KEY WAY, 20 8",,,,
Notes & Annotations,Note,X-X cross section view indicated,,,,
Notes & Annotations,Note,"Section 1.2.3.1 Design Assembly Drawing: When a machine is designed, an assembly drawing or a design layout is first drawn to clearly visualise the performance, shape and clearances of various parts comprising the machine.",,,,
Notes & Annotations,Note,"Section 1.2.3.2 Detailed Assembly Drawing: It is usually made for simple machines, comprising of a relatively smaller number of simple parts. All the dimensions and information necessary for the construction of such parts and for the assembly of the",,,,
Notes & Annotations,Note,"Part numbers 1, 2, 3, 4 are balloon-labelled on the drawing",,,,
Notes & Annotations,Note,Balloon label 1: Crank,,,,
Notes & Annotations,Note,Balloon label 2: Crank Pin,,,,
Notes & Annotations,Note,Balloon label 3: Nut,,,,
Notes & Annotations,Note,Balloon label 4: Washer,,,,
