Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter,φ40,,,,
Document Fields,Outer Flange Diameter,φ190,,,,
Document Fields,Inner Diameter 1,φ80,,,,
Document Fields,Inner Diameter 2,φ48,,,,
Document Fields,Inner Diameter 3,φ48,,,,
Document Fields,Bottom Diameter,φ72,,,,
Document Fields,Radius 1,R142,,,,
Document Fields,Radius 2,R130,,,,
Document Fields,Radius 3,R66,,,,
Document Fields,Radius 4,R56,,,,
Document Fields,Radius 5,R76,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Segment 1,36,,,,
Document Fields,Segment 2,36,,,,
Document Fields,Segment 3,50,,,,
Document Fields,Segment 4,52,,,,
Document Fields,Segment 5,52,,,,
Document Fields,Segment 6,50,,,,
Document Fields,Segment 7,36,,,,
Document Fields,Segment 8,16,,,,
Document Fields,Segment 9,12,,,,
Document Fields,Segment 10,10,,,,
Document Fields,Segment 11,12,,,,
Document Fields,Segment 12,16,,,,
Document Fields,Bottom View Total Length,162,,,,
Document Fields,Bottom View Dimension 70,70,,,,
Document Fields,Bottom View Dimension 18,18,,,,
Document Fields,Bottom View Dimension 80 Left,80,,,,
Document Fields,Bottom View Dimension 80 Right,80,,,,
Document Fields,Bottom View Dimension 10,10,,,,
Document Fields,Bottom View Height 90,90,,,,
Document Fields,Bottom View Height 118,118,,,,
Document Fields,Bolt Size,M54 × 360,,,,
Document Fields,Nut Size,M54,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,"Dimensions shown include: φ40, φ80, φ190, φ48, φ72",,,,
Notes & Annotations,Note,"Radii: R142, R130, R66, R56, R76",,,,
Notes & Annotations,Note,Thread specification M10 visible on drawing,,,,
Notes & Annotations,Note,Parts list items numbered 1 through 8,,,,
Notes & Annotations,Note,"Materials: FS (Forged Steel), GM (Gun Metal/Bearing Brass), MS (Mild Steel), MCS (Medium Carbon Steel)",,,,
