Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter 1,φ40,,,,
Document Fields,Rod End Diameter 2,φ80,,,,
Document Fields,Rod End Diameter 3,φ190,,,,
Document Fields,Bore Diameter 1,φ48,,,,
Document Fields,Bore Diameter 2,φ48,,,,
Document Fields,Bearing Diameter 1,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Radius 4,R142,,,,
Document Fields,Radius 5,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension A,46,,,,
Document Fields,Dimension B,12,,,,
Document Fields,Dimension C,8,,,,
Document Fields,Segment 1,36,,,,
Document Fields,Segment 2,36,,,,
Document Fields,Segment 3,50,,,,
Document Fields,Segment 4,52,,,,
Document Fields,Segment 5,52,,,,
Document Fields,Segment 6,50,,,,
Document Fields,Segment 7,36,,,,
Document Fields,Sub Dim 1,16,,,,
Document Fields,Sub Dim 2,12,,,,
Document Fields,Sub Dim 3,10,,,,
Document Fields,Sub Dim 4,12,,,,
Document Fields,Sub Dim 5,16,,,,
Document Fields,Bottom View Length,162,,,,
Document Fields,Bottom View Dim 1,70,,,,
Document Fields,Bottom View Dim 2,18,,,,
Document Fields,Bottom View Dim 3,80,,,,
Document Fields,Bottom View Dim 4,80,,,,
Document Fields,Bottom View Dim 5,10,,,,
Document Fields,Bottom View Height 1,90,,,,
Document Fields,Bottom View Height 2,118,,,,
Document Fields,Parts List Label,Parts list,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 of Machine Drawing textbook,,,,
Notes & Annotations,Note,"Drawing shows front view (sectioned assembly), side view (right), and bottom view of Marine Engine Connecting Rod End",,,,
Notes & Annotations,Note,Part numbers 1-11 are called out in the front section view,,,,
Notes & Annotations,Note,"Material codes: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Mild Carbon Steel",,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,"Snug quantity: 2, Material: MS",,,,
Notes & Annotations,Note,Leather packing quantity not specified in table,,,,
