Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Flange Width,15,,,,
Document Fields,Rod Diameter 1,φ40,,,,
Document Fields,Rod Diameter 2,φ80,,,,
Document Fields,Outer Flange Diameter,φ190,,,,
Document Fields,Inner Bore Diameter 1,φ48,,,,
Document Fields,Inner Bore Diameter 2,φ48,,,,
Document Fields,Right Side Diameter,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Right View Radius 1,R142,,,,
Document Fields,Right View Radius 2,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension A,36,,,,
Document Fields,Dimension B,36,,,,
Document Fields,Dimension C,50,,,,
Document Fields,Dimension D,52,,,,
Document Fields,Dimension E,52,,,,
Document Fields,Dimension F,50,,,,
Document Fields,Dimension G,36,,,,
Document Fields,Dimension H,16,,,,
Document Fields,Dimension I,12,,,,
Document Fields,Dimension J,10,,,,
Document Fields,Dimension K,12,,,,
Document Fields,Dimension L,16,,,,
Document Fields,Dimension M,46,,,,
Document Fields,Dimension N,12,,,,
Document Fields,Dimension O,8,,,,
Document Fields,Bottom View Overall Length,162,,,,
Document Fields,Bottom View Dimension 1,80,,,,
Document Fields,Bottom View Dimension 2,80,,,,
Document Fields,Bottom View Dimension 3,10,,,,
Document Fields,Bottom View Dimension 4,18,,,,
Document Fields,Bottom View Height 1,70,,,,
Document Fields,Bottom View Height 2,90,,,,
Document Fields,Bottom View Height 3,118,,,,
Document Fields,Groove Dimension,9,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 × 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,"Part callout labels visible in drawing: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,Thread M10 visible on right side flange,,,,
Notes & Annotations,Note,"Material codes: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Medium Carbon Steel",,,,
