Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter 1,φ40,,,,
Document Fields,Rod End Diameter 2,φ80,,,,
Document Fields,Rod End Diameter 3,φ190,,,,
Document Fields,Bore Diameter 1,φ48,,,,
Document Fields,Bore Diameter 2,φ48,,,,
Document Fields,Bottom Diameter,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Right Side Radius 1,R142,,,,
Document Fields,Right Side Radius 2,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Segment Dimensions Left,"36, 36, 50, 52",,,,
Document Fields,Segment Dimensions Right,"52, 50, 36",,,,
Document Fields,Small Dimensions,"16, 12, 10, 12, 16",,,,
Document Fields,Center Distance,162,,,,
Document Fields,Left Offset,70,,,,
Document Fields,Second Offset,18,,,,
Document Fields,Bottom View Width Left,80,,,,
Document Fields,Bottom View Width Right,80,,,,
Document Fields,Bottom Center,10,,,,
Document Fields,Height 1,90,,,,
Document Fields,Height 2,118,,,,
Document Fields,Dimension 46,46,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 9 (top),9,,,,
Document Fields,Dimension 9 (left),9,,,,
Document Fields,Dimension 11,11,,,,
Document Fields,Dimension 10,10,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,Thread specification shown: M10,,,,
Notes & Annotations,Note,"Materials: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Mild Carbon Steel",,,,
