Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.8,,,,
Document Fields,Figure Title,Single tool post,,,,
Document Fields,Page Number,368,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Square dimension 1,15,,,,
Document Fields,Square dimension 2,76,,,,
Document Fields,Diameter phi32,32,,,,
Document Fields,Diameter phi36,36,,,,
Document Fields,Diameter phi50,50,,,,
Document Fields,Radius R145,145,,,,
Document Fields,Dimension 120,120,,,,
Document Fields,Dimension 16,16,,,,
Document Fields,Diameter phi100,100,,,,
Document Fields,Diameter phi28,28,,,,
Document Fields,Thread M22,M22,,,,
Document Fields,Dimension 15 (top),15,,,,
Document Fields,Dimension 6,6,,,,
Document Fields,Dimension 96,96,,,,
Document Fields,Dimension 12,12,,,,
Document Fields,Dimension 8,8,,,,
Document Fields,Diameter phi15,15,,,,
Document Fields,Dimension 18,18,,,,
Document Fields,Radius R15,15,,,,
Document Fields,Dimension 13,13,,,,
Document Fields,Dimension 12 (bottom),12,,,,
Document Fields,Diameter phi51,51,,,,
Document Fields,Diameter phi62,62,,,,
Document Fields,Dimension 106,106,,,,
Document Fields,Dimension 146,146,,,,
Document Fields,Dimension 9,9,,,,
Document Fields,Undercut Width,5,,,,
Document Fields,Undercut Depth,2,,,,
Document Fields,Surface Treatment,SERRATED,,,,
Parts List,,,1,Body,MS,1
Parts List,,,2,Clamp screw,MCS,1
Parts List,,,3,Wedge,CI,1
Parts List,,,4,Ring,MS,1
Parts List,,,5,Square block,MS,1
Notes & Annotations,Note,U/C WIDE 5 DEEP 2,,,,
Notes & Annotations,Note,SERRATED,,,,
Notes & Annotations,Note,Part 1 - Body labeled in front view,,,,
Notes & Annotations,Note,Part 2 - Clamp screw at top,,,,
Notes & Annotations,Note,Part 3 - Wedge at bottom left area,,,,
Notes & Annotations,Note,Part 4 - Ring (serrated),,,,
Notes & Annotations,Note,Part 5 - Square block at base,,,,
