Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,phi40,40,,,,
Document Fields,phi80,80,,,,
Document Fields,phi190,190,,,,
Document Fields,phi48,48,,,,
Document Fields,phi72,72,,,,
Document Fields,R142,142,,,,
Document Fields,R130,130,,,,
Document Fields,R56_left,56,,,,
Document Fields,R56_right,56,,,,
Document Fields,R76,76,,,,
Document Fields,M10,M10,,,,
Document Fields,Dimension_270,270,,,,
Document Fields,Dimension_162,162,,,,
Document Fields,Dimension_15,15,,,,
Document Fields,Dimension_9_top,9,,,,
Document Fields,Dimension_9_left,9,,,,
Document Fields,Dimension_12_right,12,,,,
Document Fields,Dimension_8,8,,,,
Document Fields,Dimension_10_center,10,,,,
Document Fields,Dimension_11,11,,,,
Document Fields,Dimension_46,46,,,,
Document Fields,Dimension_36_left,36,,,,
Document Fields,Dimension_36_right,36,,,,
Document Fields,Dimension_50_left,50,,,,
Document Fields,Dimension_50_right,50,,,,
Document Fields,Dimension_52_left,52,,,,
Document Fields,Dimension_52_right,52,,,,
Document Fields,Dimension_16_left,16,,,,
Document Fields,Dimension_16_right,16,,,,
Document Fields,Dimension_12_left,12,,,,
Document Fields,Dimension_10_bottom,10,,,,
Document Fields,Dimension_12_bottom,12,,,,
Document Fields,Dimension_70,70,,,,
Document Fields,Dimension_18,18,,,,
Document Fields,Dimension_80_left,80,,,,
Document Fields,Dimension_80_right,80,,,,
Document Fields,Dimension_10_base,10,,,,
Document Fields,Dimension_90,90,,,,
Document Fields,Dimension_118,118,,,,
Document Fields,Bolt_size,M54 x 360,,,,
Document Fields,Nut_size,M54,,,,
Parts list,,,1,Rod end,FS,1
Parts list,,,2,Cover end,FS,1
Parts list,,,3,Bearing brass,GM,2
Parts list,,,4,Bolt M54 x 360,MS,2
Parts list,,,5,"Nut, M54",MCS,2
Parts list,,,6,Cotter,MCS,2
Parts list,,,7,Snug,MS,2
Parts list,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Part numbers 1-8 are indicated on the drawing with circled numbers,,,,
Notes & Annotations,Note,"Material abbreviations: FS = Forged Steel, GM = Gun Metal, MS = Mild Steel, MCS = Medium Carbon Steel",,,,
Notes & Annotations,Note,Top view shows front elevation of connecting rod end,,,,
Notes & Annotations,Note,Right side view shows end view with R142 and R130 radii,,,,
Notes & Annotations,Note,Bottom view shows side elevation with overall length 162mm,,,,
Notes & Annotations,Note,Bolt holes spaced 80mm from center on each side,,,,
Notes & Annotations,Note,Overall width indicated as 270mm in top view,,,,
