Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Title,Petrol engine connecting rod,,,,
Document Fields,Overall Length,195,,,,
Document Fields,Big End Outer Diameter,Ø44,,,,
Document Fields,Big End Inner Diameter (Cap),Ø38,,,,
Document Fields,Big End Bore,Ø35,,,,
Document Fields,Big End Bearing Outer,Ø38,,,,
Document Fields,Big End Bearing Inner,Ø35,,,,
Document Fields,Big End Width,38,,,,
Document Fields,Big End Bearing Width,30,,,,
Document Fields,Rod Big End Radius R1,R40,,,,
Document Fields,Rod Fillet Radius R2,R62,,,,
Document Fields,Rod Body Radius R3,R40,,,,
Document Fields,Small End Outer Diameter,Ø30,,,,
Document Fields,Small End Inner Diameter,Ø22,,,,
Document Fields,Small End Bore,Ø19,,,,
Document Fields,Small End Bush Outer,Ø22,,,,
Document Fields,Small End Bush Inner,Ø19,,,,
Document Fields,Small End Width,28,,,,
Document Fields,Small End Radius,R75,,,,
Document Fields,Small End Fillet Radius,R25,,,,
Document Fields,Small End Bearing Radius,R18,,,,
Document Fields,Rod Big End Flange Dimensions 1,Ø35,,,,
Document Fields,Rod Big End Flange Dimensions 2,Ø38,,,,
Document Fields,Rod Big End Flange Dimensions 3,Ø44,,,,
Document Fields,Small End Dimensions 1,Ø19,,,,
Document Fields,Small End Dimensions 2,Ø22,,,,
Document Fields,Small End Dimensions 3,Ø26,,,,
Document Fields,Rod Body Width at Section X-X,25,,,,
Document Fields,Rod Body Height at Section X-X,20,,,,
Document Fields,Section X-X Flange Width,12,,,,
Document Fields,Section X-X Flange Thickness,3,,,,
Document Fields,Bolt Hole Thread,M6,,,,
Document Fields,Bearing Brass Radius Big End Inner 1,R25,,,,
Document Fields,Bearing Brass Radius Big End Inner 2,R25,,,,
Document Fields,Bearing Brass Radius Big End Inner 3,R20,,,,
Document Fields,Dimension 9,9,,,,
Document Fields,Dimension 17,17,,,,
Document Fields,Dimension 12 (bolt spacing),12,,,,
Document Fields,Dimension 36,36,,,,
Document Fields,Dimension 3 (flange),3,,,,
Document Fields,Dimension 62 (big end height),62,,,,
Document Fields,Dimension 28 (small end),28,,,,
Document Fields,Drill Size,DIA4,,,,
Document Fields,Drill Type,DRILL CSK,,,,
Document Fields,Section Label,X-X,,,,
Parts List,,,1,Rod,FS,1
Parts List,,,2,Cap,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bearing bush,P Bronze,1
Parts List,,,5,Bolt,MCS,2
Parts List,,,6,Nut,MCS,2
Notes & Annotations,Note,Fig. Petrol engine connecting rod,,,,
Notes & Annotations,Note,Section X-X shown in front view,,,,
Notes & Annotations,Note,"DIA4, DRILL CSK annotation on small end bearing bush",,,,
Notes & Annotations,Note,M6 bolt hole for cap bolts,,,,
Notes & Annotations,Note,Overall length dimension: 195,,,,
Notes & Annotations,Note,"Bearing brass (Part 3) quantity: 2, material: GM (Gun Metal)",,,,
Notes & Annotations,Note,Bearing bush (Part 4) material: P Bronze (Phosphor Bronze),,,,
Notes & Annotations,Note,Rod and Cap material: FS (Forged Steel),,,,
Notes & Annotations,Note,Bolts and Nuts material: MCS (Mild Carbon Steel),,,,
