Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.2,,,,
Document Fields,Figure Title,Marine engine connecting rod end,,,,
Document Fields,Page Number,358,,,,
Document Fields,Chapter/Section,Machine Drawing,,,,
Document Fields,Overall Width Dimension,270,,,,
Document Fields,Left Section Width,15,,,,
Document Fields,Rod End Diameter 1,φ40,,,,
Document Fields,Rod End Diameter 2,φ80,,,,
Document Fields,Rod End Diameter 3,φ190,,,,
Document Fields,Inner Diameter 1,φ48,,,,
Document Fields,Inner Diameter 2,φ48,,,,
Document Fields,Bottom Diameter,φ72,,,,
Document Fields,Radius 1,R56,,,,
Document Fields,Radius 2,R56,,,,
Document Fields,Radius 3,R76,,,,
Document Fields,Right Side Radius 1,R142,,,,
Document Fields,Right Side Radius 2,R130,,,,
Document Fields,Thread Size,M10,,,,
Document Fields,Dimension A,46,,,,
Document Fields,Dimension B,12,,,,
Document Fields,Dimension C,8,,,,
Document Fields,Section Dimension 1,36,,,,
Document Fields,Section Dimension 2,36,,,,
Document Fields,Section Dimension 3,50,,,,
Document Fields,Section Dimension 4,52,,,,
Document Fields,Section Dimension 5,52,,,,
Document Fields,Section Dimension 6,50,,,,
Document Fields,Section Dimension 7,36,,,,
Document Fields,Bottom Dimension 1,16,,,,
Document Fields,Bottom Dimension 2,12,,,,
Document Fields,Bottom Dimension 3,10,,,,
Document Fields,Bottom Dimension 4,12,,,,
Document Fields,Bottom Dimension 5,16,,,,
Document Fields,Lower View Length,162,,,,
Document Fields,Lower View Dim 1,70,,,,
Document Fields,Lower View Dim 2,18,,,,
Document Fields,Lower View Dim 3,80,,,,
Document Fields,Lower View Dim 4,80,,,,
Document Fields,Lower View Dim 5,10,,,,
Document Fields,Lower View Height 1,90,,,,
Document Fields,Lower View Height 2,118,,,,
Document Fields,Part 9 Label,9,,,,
Parts List,,,1,Rod end,FS,1
Parts List,,,2,Cover end,FS,1
Parts List,,,3,Bearing brass,GM,2
Parts List,,,4,Bolt M54 × 360,MS,2
Parts List,,,5,"Nut, M54",MCS,2
Parts List,,,6,Cotter,MCS,2
Parts List,,,7,Snug,MS,2
Parts List,,,8,Leather packing,,
Notes & Annotations,Note,Fig. 19.2 Marine engine connecting rod end,,,,
Notes & Annotations,Note,Page 358 - Machine Drawing,,,,
Notes & Annotations,Note,Parts list provided with 8 components,,,,
Notes & Annotations,Note,"Materials used: FS (Forged Steel), GM (Gun Metal), MS (Mild Steel), MCS (Medium Carbon Steel)",,,,
Notes & Annotations,Note,Bolt specification: M54 × 360,,,,
Notes & Annotations,Note,Nut specification: M54,,,,
Notes & Annotations,Note,Two views shown: front sectional view and side view (end view),,,,
Notes & Annotations,Note,Dimension 9 appears twice on drawing (left side and center),,,,
Notes & Annotations,Note,R56 radius appears twice in main view,,,,
