Section,Field,Value,Col_Part No.,Col_Name,Col_Matl.,Col_Qty.
Document Fields,Figure Number,19.4,,,,
Document Fields,Title,Spark plug,,,,
Document Fields,Page Number,360,,,,
Document Fields,Chapter,Machine Drawing,,,,
Parts list,,,1,Shell,MCS,1
Parts list,,,2,Insulator,Porcelain,1
Parts list,,,3,Central electrode,Nickel,1
Parts list,,,4,Nut,MCS,1
Parts list,,,5,Ground electrode,Nickel,1
Parts list,,,6,Terminal,Brass,1
Parts list,,,7,Sealing gasket,Asbestos,1
Parts list,,,8,Sealing gasket,Asbestos,1
Notes & Annotations,Note,φ10 - outer diameter at top terminal area,,,,
Notes & Annotations,Note,φ8 - diameter at terminal,,,,
Notes & Annotations,Note,M5 - thread at terminal,,,,
Notes & Annotations,Note,φ8 - diameter,,,,
Notes & Annotations,Note,φ10 - diameter,,,,
Notes & Annotations,Note,φ15 - diameter,,,,
Notes & Annotations,Note,φ12 - diameter,,,,
Notes & Annotations,Note,φ22 - diameter,,,,
Notes & Annotations,Note,φ24 - diameter,,,,
Notes & Annotations,Note,φ21 - diameter,,,,
Notes & Annotations,Note,φ18 - diameter,,,,
Notes & Annotations,Note,φ33 - diameter at hex section,,,,
Notes & Annotations,Note,φ20 - diameter,,,,
Notes & Annotations,Note,M36 - thread on shell,,,,
Notes & Annotations,Note,φ3 - central electrode tip diameter,,,,
Notes & Annotations,Note,φ5 - diameter,,,,
Notes & Annotations,Note,φ10 - diameter,,,,
Notes & Annotations,Note,φ16 - diameter,,,,
Notes & Annotations,Note,φ26 - diameter,,,,
Notes & Annotations,Note,M30 - thread diameter,,,,
Notes & Annotations,Note,φ43 - outer flange diameter,,,,
Notes & Annotations,Note,Dimension 12.5 - length,,,,
Notes & Annotations,Note,Dimension 7.5 - length,,,,
Notes & Annotations,Note,Dimension 18 - length,,,,
Notes & Annotations,Note,Dimension 8 - length,,,,
Notes & Annotations,Note,Dimension 112 - total length,,,,
Notes & Annotations,Note,Dimension 88 - length of shell body,,,,
Notes & Annotations,Note,Dimension 27 - length,,,,
Notes & Annotations,Note,Dimension 18 - length,,,,
Notes & Annotations,Note,Dimension 13 - length,,,,
Notes & Annotations,Note,Dimension 55 - length,,,,
Notes & Annotations,Note,Dimension 18 - length at bottom,,,,
Notes & Annotations,Note,Dimension 24 - length,,,,
Notes & Annotations,Note,Dimension 24 - dimension,,,,
Notes & Annotations,Note,Dimension 6 - length,,,,
Notes & Annotations,Note,Dimension 1.5 - length,,,,
Notes & Annotations,Note,Dimension 10 - length,,,,
Notes & Annotations,Note,Dimension 1.5 - length,,,,
Notes & Annotations,Note,Dimension 5 - length,,,,
Notes & Annotations,Note,Dimension 5 - length,,,,
Notes & Annotations,Note,Dimension 4 - length,,,,
Notes & Annotations,Note,Dimension 6 - chamfer/step,,,,
Notes & Annotations,Note,Dimension 6 - chamfer/step,,,,
Notes & Annotations,Note,Dimension 3 - dimension,,,,
Notes & Annotations,Note,Dimension 1.5 - dimension,,,,
Notes & Annotations,Note,3×45° - chamfer specification,,,,
Notes & Annotations,Note,14 WIDE 4 - flat/hex width specification,,,,
